timestamp,temperature_C,salinity_ppt,dissolved_oxygen_mgL,pH,ammonia_mgL
2025-01-01 00:00:00,15.944428456897048,2.8457654967738324,7.387133669577965,7.421132706816006,0.0296907728754389
2025-01-01 01:00:00,16.230657853867015,2.1139781055744873,7.271564435088363,7.401655350902934,0.02600791151032184
2025-01-01 02:00:00,15.814551636814157,2.4937248731839143,7.101772730022523,7.326022435290055,0.03994155135527125
2025-01-01 03:00:00,16.77033859647371,2.4640619867154188,6.810345020553756,7.452431786162541,0.030948196554025927
2025-01-01 04:00:00,16.801158037228873,2.4441638107368853,6.520277454955416,7.1118276373327705,0.04387395610122314
2025-01-01 05:00:00,15.256598037145686,2.4464093124913853,7.733624277558033,7.413490632509436,0.05105435867656444
2025-01-01 06:00:00,16.873108248090876,2.4249467897280383,6.388651514495614,7.320562034080619,0.04531536130006675
2025-01-01 07:00:00,14.72772409059227,2.3435543957749108,7.553715312690851,7.427852331390129,0.046198014016064125
2025-01-01 08:00:00,15.518224936658141,2.5342250006851392,6.962178140761717,7.522653615906261,0.00981696818949971
2025-01-01 09:00:00,15.790319782590934,2.6418867226479925,6.562497762844083,7.411316024455078,0.03871874061236487
2025-01-01 10:00:00,16.246788025443035,2.2158699913753797,6.884490594584452,7.378327354596155,0.03247537739994153
2025-01-01 11:00:00,15.65610018429284,2.2942440980044423,7.007440925114765,7.54026778127964,0.027999584739032156
2025-01-01 12:00:00,15.967932710624352,2.856456028680682,7.159758440030564,7.373938569641007,0.05867229867600562
2025-01-01 13:00:00,16.755706719773002,2.5271390730667926,6.278700300726425,7.3078926832714615,0.041374976212132396
2025-01-01 14:00:00,16.520702171580336,2.1825303182863474,6.880734489500996,7.179310456277979,0.042559638323810337
2025-01-01 15:00:00,17.712864603205578,2.1591826879911924,6.696094236376689,7.402364777377518,0.030848894068920583
2025-01-01 16:00:00,16.38255585659013,2.213479534795176,6.8678500240989715,7.3948575085699355,0.03182796345875249
2025-01-01 17:00:00,16.597393275983187,2.5501919430052333,7.0534461268725615,7.188481092358233,0.04931542559729799
2025-01-01 18:00:00,16.06902028067622,2.4656263569077237,6.758695931566288,7.381180442643737,0.03666432857191843
